match_number,date,opponent,venue,result,margin
2,2022-03-27,Mumbai Indians,"Brabourne Stadium, Mumbai",won,by 4 wickets
10,2022-04-02,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",lost,by 14 runs
15,2022-04-07,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",lost,by 6 wickets
19,2022-04-10,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",won,by 44 runs
27,2022-04-16,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",lost,by 16 runs
32,2022-04-20,Punjab Kings,"Brabourne Stadium, Mumbai",won,by 9 wickets
34,2022-04-22,Rajasthan Royals,"Wankhede Stadium, Mumbai",lost,by 15 runs
41,2022-04-28,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",won,by 4 wickets
45,2022-05-01,Lucknow Super Giants,"Wankhede Stadium, Mumbai",lost,by 6 runs
50,2022-05-05,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",won,by 21 runs
55,2022-05-08,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",lost,by 91 runs
58,2022-05-11,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",won,by 8 wickets
64,2022-05-16,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",won,by 17 runs
69,2022-05-21,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 5 wickets
