match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2015-04-10,Rajasthan Royals,Maharashtra Cricket Association Stadium,5,4,1,0,125.0,not out,10
24,2015-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,5,0,0,40.0,not out,10
40,2015-05-06,Royal Challengers Bangalore,M Chinnaswamy Stadium,4,7,0,0,57.14,b MA Starc,10
