match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2010-03-13,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",3.0,0,11,0,3.67,7,0,0
7,2010-03-16,Royal Challengers Bangalore,M Chinnaswamy Stadium,2.0,0,18,0,9.0,5,0,0
12,2010-03-19,Deccan Chargers,Barabati Stadium,4.0,0,21,2,5.25,11,0,0
16,2010-03-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2.0,0,18,1,9.0,4,1,0
19,2010-03-24,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",1.0,0,12,0,12.0,0,0,0
31,2010-04-02,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2.0,0,14,0,7.0,1,0,0
41,2010-04-09,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",2.0,0,15,0,7.5,1,0,0
44,2010-04-11,Delhi Daredevils,Feroz Shah Kotla,4.0,0,14,1,3.5,11,0,0
51,2010-04-16,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,2.0,0,22,1,11.0,3,0,0
54,2010-04-18,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,1.0,0,7,0,7.0,2,0,0
