match_number,date,opponent,catches,stumpings,run_outs
14,2011-04-16,Royal Challengers Bangalore,1,0,0
43,2011-05-04,Rajasthan Royals,2,0,0
56,2011-05-12,Delhi Daredevils,1,0,0
71,2011-05-24,Royal Challengers Bangalore,1,0,0
