innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,DR Smith,2,6,SR Tendulkar,9,10,11,16
1,Mumbai Indians,2,KD Karthik,25,19,DR Smith,5,11,32,30
1,Mumbai Indians,3,RG Sharma,16,13,DR Smith,26,15,43,28
1,Mumbai Indians,4,RG Sharma,63,26,KA Pollard,20,21,88,46
2,Kings XI Punjab,1,Mandeep Singh,9,8,SE Marsh,2,4,12,12
2,Kings XI Punjab,2,SE Marsh,1,3,M Vohra,1,2,4,5
2,Kings XI Punjab,3,DJ Hussey,32,15,SE Marsh,7,5,39,20
2,Kings XI Punjab,4,DA Miller,19,12,DJ Hussey,2,3,21,15
2,Kings XI Punjab,5,Gurkeerat Singh,2,4,DA Miller,1,1,3,5
2,Kings XI Punjab,6,DA Miller,17,10,Azhar Mahmood,9,13,31,23
2,Kings XI Punjab,7,DA Miller,1,1,MS Gony,0,3,1,4
2,Kings XI Punjab,8,DA Miller,6,7,PP Chawla,12,10,21,17
2,Kings XI Punjab,9,DA Miller,12,3,P Kumar,5,3,17,6
2,Kings XI Punjab,10,P Awana,0,2,P Kumar,19,12,21,13
