innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Chennai Super Kings,1,SV Samson,46,20,RD Gaikwad,15,18,1,62,38
1,Chennai Super Kings,2,A Mhatre,59,36,SV Samson,52,31,2,113,67
1,Chennai Super Kings,3,S Dube,20,10,SV Samson,17,5,0,37,15
2,Delhi Capitals,1,P Nissanka,41,22,KL Rahul,18,10,2,61,30
2,Delhi Capitals,2,P Nissanka,0,2,Sameer Rizvi,0,0,0,0,2
2,Delhi Capitals,3,AR Patel,1,2,Sameer Rizvi,4,3,0,5,5
2,Delhi Capitals,4,DA Miller,2,5,Sameer Rizvi,2,6,6,10,11
2,Delhi Capitals,5,DA Miller,15,9,T Stubbs,26,17,4,45,26
2,Delhi Capitals,6,Ashutosh Sharma,19,10,T Stubbs,9,5,0,28,15
2,Delhi Capitals,7,Auqib Nabi,4,2,T Stubbs,1,3,0,5,5
2,Delhi Capitals,8,Kuldeep Yadav,3,4,T Stubbs,24,13,2,29,17
2,Delhi Capitals,9,L Ngidi,1,1,Kuldeep Yadav,1,3,0,2,4
2,Delhi Capitals,10,T Natarajan,1,2,L Ngidi,2,4,1,4,5
