match_number,date,opponent,venue,result,margin
3,2019-03-24,Mumbai Indians,Wankhede Stadium,won,by 37 runs
5,2019-03-26,Chennai Super Kings,Arun Jaitley Stadium,lost,by 6 wickets
10,2019-03-30,Kolkata Knight Riders,Arun Jaitley Stadium,no result,
13,2019-04-01,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 14 runs
16,2019-04-04,Sunrisers Hyderabad,Arun Jaitley Stadium,lost,by 5 wickets
20,2019-04-07,Royal Challengers Bangalore,M.Chinnaswamy Stadium,won,by 4 wickets
26,2019-04-12,Kolkata Knight Riders,Eden Gardens,won,by 7 wickets
30,2019-04-14,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,won,by 39 runs
34,2019-04-18,Mumbai Indians,Arun Jaitley Stadium,lost,by 40 runs
37,2019-04-20,Kings XI Punjab,Arun Jaitley Stadium,won,by 5 wickets
40,2019-04-22,Rajasthan Royals,Sawai Mansingh Stadium,won,by 6 wickets
46,2019-04-28,Royal Challengers Bangalore,Arun Jaitley Stadium,won,by 16 runs
50,2019-05-01,Chennai Super Kings,MA Chidambaram Stadium,lost,by 80 runs
53,2019-05-04,Rajasthan Royals,Arun Jaitley Stadium,won,by 5 wickets
58,2019-05-08,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 2 wickets
59,2019-05-10,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 6 wickets
