match_number,date,opponent,venue,result,margin
2,2020-09-20,Kings XI Punjab,Dubai International Cricket Stadium,no result,
7,2020-09-25,Chennai Super Kings,Dubai International Cricket Stadium,won,by 44 runs
11,2020-09-29,Sunrisers Hyderabad,Sheikh Zayed Stadium,lost,by 15 runs
16,2020-10-03,Kolkata Knight Riders,Sharjah Cricket Stadium,won,by 18 runs
19,2020-10-05,Royal Challengers Bangalore,Dubai International Cricket Stadium,won,by 59 runs
23,2020-10-09,Rajasthan Royals,Sharjah Cricket Stadium,won,by 46 runs
27,2020-10-11,Mumbai Indians,Sheikh Zayed Stadium,lost,by 5 wickets
30,2020-10-14,Rajasthan Royals,Dubai International Cricket Stadium,won,by 13 runs
34,2020-10-17,Chennai Super Kings,Sharjah Cricket Stadium,won,by 5 wickets
38,2020-10-20,Kings XI Punjab,Dubai International Cricket Stadium,lost,by 5 wickets
42,2020-10-24,Kolkata Knight Riders,Sheikh Zayed Stadium,lost,by 59 runs
47,2020-10-27,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 88 runs
51,2020-10-31,Mumbai Indians,Dubai International Cricket Stadium,lost,by 9 wickets
55,2020-11-02,Royal Challengers Bangalore,Sheikh Zayed Stadium,won,by 6 wickets
57,2020-11-05,Mumbai Indians,Dubai International Cricket Stadium,lost,by 57 runs
59,2020-11-08,Sunrisers Hyderabad,Sheikh Zayed Stadium,won,by 17 runs
60,2020-11-10,Mumbai Indians,Dubai International Cricket Stadium,lost,by 5 wickets
