team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Mumbai Indians,1,KA Pollard,Navdeep Saini,HH Pandya,1,0,1,,False,,
Mumbai Indians,2,HH Pandya,Navdeep Saini,KA Pollard,1,0,1,,False,,
Mumbai Indians,3,KA Pollard,Navdeep Saini,HH Pandya,0,0,0,,False,,
Mumbai Indians,4,KA Pollard,Navdeep Saini,HH Pandya,4,0,4,,False,,
Mumbai Indians,5,KA Pollard,Navdeep Saini,HH Pandya,0,0,0,,True,caught,KA Pollard
Mumbai Indians,6,HH Pandya,Navdeep Saini,RG Sharma,0,1,1,byes,False,,
Royal Challengers Bangalore,1,AB de Villiers,JJ Bumrah,V Kohli,1,0,1,,False,,
Royal Challengers Bangalore,2,V Kohli,JJ Bumrah,AB de Villiers,1,0,1,,False,,
Royal Challengers Bangalore,3,AB de Villiers,JJ Bumrah,V Kohli,0,0,0,,False,,
Royal Challengers Bangalore,4,AB de Villiers,JJ Bumrah,V Kohli,4,0,4,,False,,
Royal Challengers Bangalore,5,AB de Villiers,JJ Bumrah,V Kohli,1,0,1,,False,,
Royal Challengers Bangalore,6,V Kohli,JJ Bumrah,AB de Villiers,4,0,4,,False,,
