innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Delhi Daredevils,death,55,1,30,11.0,6,8
1,Delhi Daredevils,middle,64,1,54,7.11,5,12
1,Delhi Daredevils,powerplay,64,2,36,10.67,9,11
2,Royal Challengers Bangalore,death,45,4,30,9.0,5,7
2,Royal Challengers Bangalore,middle,75,5,54,8.33,8,12
2,Royal Challengers Bangalore,powerplay,46,0,36,7.67,5,12
