match_number,date,opponent,venue,result,margin
5,2022-03-29,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",won,by 61 runs
9,2022-04-02,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",won,by 23 runs
13,2022-04-05,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",lost,by 4 wickets
20,2022-04-10,Lucknow Super Giants,"Wankhede Stadium, Mumbai",won,by 3 runs
24,2022-04-14,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",lost,by 37 runs
30,2022-04-18,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",won,by 7 runs
34,2022-04-22,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 15 runs
39,2022-04-26,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",won,by 29 runs
44,2022-04-30,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",lost,by 5 wickets
47,2022-05-02,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",lost,by 7 wickets
52,2022-05-07,Punjab Kings,"Wankhede Stadium, Mumbai",won,by 6 wickets
58,2022-05-11,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",lost,by 8 wickets
63,2022-05-15,Lucknow Super Giants,"Brabourne Stadium, Mumbai",won,by 24 runs
68,2022-05-20,Chennai Super Kings,"Brabourne Stadium, Mumbai",won,by 5 wickets
71,2022-05-24,Gujarat Titans,"Eden Gardens, Kolkata",lost,by 7 wickets
73,2022-05-27,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",won,by 7 wickets
74,2022-05-29,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 7 wickets
