match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2018-04-08,Delhi Daredevils,Punjab Cricket Association IS Bindra Stadium,4.0,0,38,0,9.5,6,1,1
8,2018-04-13,Royal Challengers Bangalore,M.Chinnaswamy Stadium,4.0,0,27,1,6.75,6,1,0
12,2018-04-15,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,4.0,0,47,2,11.75,5,1,0
16,2018-04-19,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,4.0,0,23,2,5.75,9,0,0
18,2018-04-21,Kolkata Knight Riders,Eden Gardens,4.0,0,30,2,7.5,9,1,1
22,2018-04-23,Delhi Daredevils,Arun Jaitley Stadium,4.0,0,25,2,6.25,9,2,0
25,2018-04-26,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,4.0,0,28,0,7.0,8,0,0
34,2018-05-04,Mumbai Indians,Holkar Cricket Stadium,4.0,0,35,1,8.75,7,1,0
38,2018-05-06,Rajasthan Royals,Holkar Cricket Stadium,4.0,0,24,2,6.0,6,0,0
40,2018-05-08,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,34,4,8.5,7,0,0
44,2018-05-12,Kolkata Knight Riders,Holkar Cricket Stadium,4.0,0,41,4,10.25,7,2,0
48,2018-05-14,Royal Challengers Bangalore,Holkar Cricket Stadium,4.0,0,33,0,8.25,8,0,0
50,2018-05-16,Mumbai Indians,Wankhede Stadium,4.0,0,16,4,4.0,15,1,0
56,2018-05-20,Chennai Super Kings,Maharashtra Cricket Association Stadium,4.0,0,47,0,11.75,6,5,0
