match_number,date,opponent,venue,result,margin
1,2020-09-19,Chennai Super Kings,Sheikh Zayed Stadium,lost,by 5 wickets
5,2020-09-23,Kolkata Knight Riders,Sheikh Zayed Stadium,won,by 49 runs
10,2020-09-28,Royal Challengers Bangalore,Dubai International Cricket Stadium,no result,
13,2020-10-01,Kings XI Punjab,Sheikh Zayed Stadium,won,by 48 runs
17,2020-10-04,Sunrisers Hyderabad,Sharjah Cricket Stadium,won,by 34 runs
20,2020-10-06,Rajasthan Royals,Sheikh Zayed Stadium,won,by 57 runs
27,2020-10-11,Delhi Capitals,Sheikh Zayed Stadium,won,by 5 wickets
32,2020-10-16,Kolkata Knight Riders,Sheikh Zayed Stadium,won,by 8 wickets
36,2020-10-18,Kings XI Punjab,Dubai International Cricket Stadium,no result,
41,2020-10-23,Chennai Super Kings,Sharjah Cricket Stadium,won,by 10 wickets
45,2020-10-25,Rajasthan Royals,Sheikh Zayed Stadium,lost,by 8 wickets
48,2020-10-28,Royal Challengers Bangalore,Sheikh Zayed Stadium,won,by 5 wickets
51,2020-10-31,Delhi Capitals,Dubai International Cricket Stadium,won,by 9 wickets
56,2020-11-03,Sunrisers Hyderabad,Sharjah Cricket Stadium,lost,by 10 wickets
57,2020-11-05,Delhi Capitals,Dubai International Cricket Stadium,won,by 57 runs
60,2020-11-10,Delhi Capitals,Dubai International Cricket Stadium,won,by 5 wickets
