match_number,date,opponent,venue,result,margin
2,2009-04-18,Rajasthan Royals,Newlands,won,by 75 runs
5,2009-04-20,Chennai Super Kings,St George's Park,lost,by 92 runs
8,2009-04-22,Deccan Chargers,Newlands,lost,by 24 runs
11,2009-04-24,Kings XI Punjab,Kingsmead,lost,by 7 wickets
14,2009-04-26,Delhi Daredevils,St George's Park,lost,by 6 wickets
19,2009-04-29,Kolkata Knight Riders,Kingsmead,won,by 5 wickets
24,2009-05-01,Kings XI Punjab,Kingsmead,won,by 8 runs
28,2009-05-03,Mumbai Indians,New Wanderers Stadium,won,by 9 wickets
33,2009-05-07,Rajasthan Royals,SuperSport Park,lost,by 7 wickets
38,2009-05-10,Mumbai Indians,St George's Park,lost,by 16 runs
41,2009-05-12,Kolkata Knight Riders,SuperSport Park,won,by 6 wickets
44,2009-05-14,Chennai Super Kings,Kingsmead,won,by 2 wickets
52,2009-05-19,Delhi Daredevils,New Wanderers Stadium,won,by 7 wickets
56,2009-05-21,Deccan Chargers,SuperSport Park,won,by 12 runs
58,2009-05-23,Chennai Super Kings,New Wanderers Stadium,won,by 6 wickets
59,2009-05-24,Deccan Chargers,New Wanderers Stadium,lost,by 6 runs
