innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,B Kumar,4.0,0,27,2,6.75,11,1,0
1,Sunrisers Hyderabad,Mohammad Nabi,4.0,0,21,2,5.25,5,0,0
1,Sunrisers Hyderabad,Rashid Khan,4.0,0,18,1,4.5,12,0,0
1,Sunrisers Hyderabad,S Kaul,4.0,0,35,2,8.75,9,1,0
1,Sunrisers Hyderabad,Sandeep Sharma,4.0,0,25,1,6.25,10,0,0
2,Delhi Capitals,AR Patel,4.0,0,18,1,4.5,9,1,0
2,Delhi Capitals,CH Morris,3.0,0,26,0,8.67,6,0,0
2,Delhi Capitals,I Sharma,1.0,0,5,1,5.0,2,1,0
2,Delhi Capitals,K Rabada,3.3,0,32,1,9.14,7,0,0
2,Delhi Capitals,R Tewatia,3.0,0,10,1,3.33,12,1,0
2,Delhi Capitals,S Lamichhane,4.0,0,32,1,8.0,10,0,0
