match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2013-04-05,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",4.0,0,29,2,7.25,11,1,0
7,2013-04-07,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",4.0,0,21,1,5.25,12,1,0
9,2013-04-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,35,1,11.67,5,2,0
14,2013-04-12,Delhi Daredevils,Feroz Shah Kotla,4.0,0,31,2,7.75,7,0,0
17,2013-04-14,Kolkata Knight Riders,Eden Gardens,4.0,0,44,0,11.0,4,2,0
22,2013-04-17,Pune Warriors,Maharashtra Cricket Association Stadium,4.0,0,20,3,5.0,13,0,0
25,2013-04-19,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",4.0,0,25,0,6.25,10,0,0
36,2013-04-27,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,34,1,8.5,9,0,0
43,2013-05-01,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",4.0,0,37,0,9.25,9,1,1
48,2013-05-04,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",3.1,1,11,2,3.47,13,0,1
54,2013-05-08,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",4.0,0,45,3,11.25,7,0,1
59,2013-05-11,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,19,1,4.75,10,0,0
62,2013-05-13,Mumbai Indians,Wankhede Stadium,3.3,0,55,0,15.71,6,1,0
68,2013-05-17,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",3.0,0,25,2,8.33,6,0,0
72,2013-05-19,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",4.0,0,33,1,8.25,5,0,0
74,2013-05-22,Rajasthan Royals,Feroz Shah Kotla,3.0,0,14,0,4.67,9,0,0
