match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2008-04-19,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",71,33,10,3,215.15,c Joginder Sharma b P Amarnath,2
6,2008-04-21,Rajasthan Royals,Sawai Mansingh Stadium,16,16,2,0,100.0,lbw b SK Warne,2
22,2008-05-03,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",18,12,4,0,150.0,c BJ Hodge b AB Dinda,2
25,2008-05-05,Royal Challengers Bangalore,M Chinnaswamy Stadium,5,4,1,0,125.0,c CL White b Z Khan,2
31,2008-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",14,7,1,1,200.0,c MS Dhoni b JA Morkel,2
34,2008-05-12,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",27,19,0,3,142.11,c DW Steyn b R Vinay Kumar,2
40,2008-05-17,Delhi Daredevils,Feroz Shah Kotla,4,6,0,0,66.67,c Shoaib Malik b A Mishra,2
45,2008-05-21,Mumbai Indians,Wankhede Stadium,0,1,0,0,0.0,c PR Shah b SM Pollock,2
52,2008-05-25,Kolkata Knight Riders,Eden Gardens,13,10,2,0,130.0,lbw b Umar Gul,2
56,2008-05-28,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",51,35,7,1,145.71,c D Salunkhe b YK Pathan,2
58,2008-05-31,Chennai Super Kings,Wankhede Stadium,2,5,0,0,40.0,c PA Patel b M Ntini,2
