innings,over,ball,team,player_in,player_out,reason
1,18,1,Punjab Kings,N Wadhera,YS Chahal,impact_player
2,1,1,Delhi Capitals,Auqib Nabi,P Nissanka,impact_player
2,4,1,Delhi Capitals,V Nigam,L Ngidi,concussion_substitute
