match_number,date,opponent,venue,result,margin
3,2020-09-21,Sunrisers Hyderabad,Dubai International Cricket Stadium,won,by 10 runs
6,2020-09-24,Kings XI Punjab,Dubai International Cricket Stadium,lost,by 97 runs
10,2020-09-28,Mumbai Indians,Dubai International Cricket Stadium,no result,
15,2020-10-03,Rajasthan Royals,Sheikh Zayed Stadium,won,by 8 wickets
19,2020-10-05,Delhi Capitals,Dubai International Cricket Stadium,lost,by 59 runs
25,2020-10-10,Chennai Super Kings,Dubai International Cricket Stadium,won,by 37 runs
28,2020-10-12,Kolkata Knight Riders,Sharjah Cricket Stadium,won,by 82 runs
31,2020-10-15,Kings XI Punjab,Sharjah Cricket Stadium,lost,by 8 wickets
33,2020-10-17,Rajasthan Royals,Dubai International Cricket Stadium,won,by 7 wickets
39,2020-10-21,Kolkata Knight Riders,Sheikh Zayed Stadium,won,by 8 wickets
44,2020-10-25,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 8 wickets
48,2020-10-28,Mumbai Indians,Sheikh Zayed Stadium,lost,by 5 wickets
52,2020-10-31,Sunrisers Hyderabad,Sharjah Cricket Stadium,lost,by 5 wickets
55,2020-11-02,Delhi Capitals,Sheikh Zayed Stadium,lost,by 6 wickets
58,2020-11-06,Sunrisers Hyderabad,Sheikh Zayed Stadium,lost,by 6 wickets
