match_number,date,opponent,venue,result,margin
2,2013-04-04,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 2 runs
5,2013-04-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 9 runs
10,2013-04-09,Delhi Daredevils,Wankhede Stadium,won,by 44 runs
15,2013-04-13,Pune Warriors,Wankhede Stadium,won,by 41 runs
23,2013-04-17,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 87 runs
28,2013-04-21,Delhi Daredevils,Feroz Shah Kotla,lost,by 9 wickets
33,2013-04-24,Kolkata Knight Riders,Eden Gardens,won,by 5 wickets
37,2013-04-27,Royal Challengers Bangalore,Wankhede Stadium,won,by 58 runs
41,2013-04-29,Kings XI Punjab,Wankhede Stadium,won,by 4 runs
43,2013-05-01,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
49,2013-05-05,Chennai Super Kings,Wankhede Stadium,won,by 60 runs
53,2013-05-07,Kolkata Knight Riders,Wankhede Stadium,won,by 65 runs
58,2013-05-11,Pune Warriors,Subrata Roy Sahara Stadium,won,by 5 wickets
62,2013-05-13,Sunrisers Hyderabad,Wankhede Stadium,won,by 7 wickets
66,2013-05-15,Rajasthan Royals,Wankhede Stadium,won,by 14 runs
69,2013-05-18,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,lost,by 50 runs
73,2013-05-21,Chennai Super Kings,Feroz Shah Kotla,lost,by 48 runs
75,2013-05-24,Rajasthan Royals,Eden Gardens,won,by 4 wickets
76,2013-05-26,Chennai Super Kings,Eden Gardens,won,by 23 runs
