innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,Vishnu Vinod,30,5.5
1,Royal Challengers Bangalore,2,CH Gayle,96,14.1
1,Royal Challengers Bangalore,3,TM Head,102,15.1
1,Royal Challengers Bangalore,4,V Kohli,118,17.3
1,Royal Challengers Bangalore,5,KM Jadhav,131,18.4
1,Royal Challengers Bangalore,6,Sachin Baby,144,19.5
2,Delhi Daredevils,1,SV Samson,0,1.2
2,Delhi Daredevils,2,KK Nair,41,6.2
2,Delhi Daredevils,3,SS Iyer,87,12.4
2,Delhi Daredevils,4,MN Samuels,87,12.5
2,Delhi Daredevils,5,CJ Anderson,105,16.2
2,Delhi Daredevils,6,PJ Cummins,113,16.6
2,Delhi Daredevils,7,RR Pant,119,17.4
2,Delhi Daredevils,8,A Mishra,135,18.6
2,Delhi Daredevils,9,Mohammed Shami,150,20.2
2,Delhi Daredevils,10,S Nadeem,151,20.6
