match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
8,2018-04-13,Royal Challengers Bangalore,M.Chinnaswamy Stadium,1,2,0,0,50.0,not out,10
44,2018-05-12,Kolkata Knight Riders,Holkar Cricket Stadium,4,3,1,0,133.33,not out,10
48,2018-05-14,Royal Challengers Bangalore,Holkar Cricket Stadium,3,5,0,0,60.0,run out (),10
56,2018-05-20,Chennai Super Kings,Maharashtra Cricket Association Stadium,2,3,0,0,66.67,not out,10
