innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Rajasthan Royals,death,64,3,30,12.8,10,7
1,Rajasthan Royals,middle,69,2,54,7.67,7,15
1,Rajasthan Royals,powerplay,55,1,36,9.17,9,22
2,Gujarat Titans,death,78,0,41,11.41,9,4
2,Gujarat Titans,middle,50,2,41,7.32,5,12
2,Gujarat Titans,powerplay,63,1,35,10.8,11,15
