innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,1,1,Kolkata Knight Riders,AM Rahane,Mustafizur Rahman,J Madanagopal,,upheld,False
2,1,2,Kolkata Knight Riders,AM Rahane,Mustafizur Rahman,J Madanagopal,,upheld,False
2,12,1,Delhi Capitals,N Rana,Lalit Yadav,CB Gaffaney,,struck down,False
2,16,3,Kolkata Knight Riders,PJ Cummins,Kuldeep Yadav,CB Gaffaney,,struck down,True
