innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kings XI Punjab,1,V Sehwag,69,33,M Vohra,34,31,110,64
1,Kings XI Punjab,2,V Sehwag,22,8,GJ Maxwell,13,6,38,14
1,Kings XI Punjab,3,DA Miller,31,15,V Sehwag,31,17,63,31
1,Kings XI Punjab,4,DA Miller,6,3,GJ Bailey,1,2,7,5
1,Kings XI Punjab,5,DA Miller,1,1,WP Saha,6,2,7,3
1,Kings XI Punjab,6,MG Johnson,1,1,WP Saha,0,2,1,3
1,Kings XI Punjab,7,MG Johnson,1,1,WP Saha,0,2,1,3
2,Chennai Super Kings,1,DR Smith,1,1,F du Plessis,0,1,1,2
2,Chennai Super Kings,2,DR Smith,6,10,SK Raina,55,18,66,28
2,Chennai Super Kings,3,SK Raina,32,7,BB McCullum,0,1,33,7
2,Chennai Super Kings,4,RA Jadeja,27,20,BB McCullum,11,15,40,35
2,Chennai Super Kings,5,RA Jadeja,0,1,DJ Hussey,0,0,0,1
2,Chennai Super Kings,6,DJ Hussey,1,3,MS Dhoni,1,1,2,4
2,Chennai Super Kings,7,R Ashwin,10,11,MS Dhoni,14,13,25,24
2,Chennai Super Kings,8,MM Sharma,1,3,MS Dhoni,27,17,35,19
