innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Delhi Capitals,1,P Nissanka,19,15,KL Rahul,10,9,0,29,24
1,Delhi Capitals,2,KL Rahul,2,4,N Rana,5,3,0,7,7
1,Delhi Capitals,3,KK Nair,13,13,N Rana,3,4,0,16,17
1,Delhi Capitals,4,N Rana,7,6,AR Patel,2,3,0,9,9
1,Delhi Capitals,5,T Stubbs,8,6,AR Patel,0,3,0,8,9
1,Delhi Capitals,6,T Stubbs,30,25,Sameer Rizvi,33,22,2,65,47
1,Delhi Capitals,7,Ashutosh Sharma,14,5,Sameer Rizvi,1,1,0,15,6
1,Delhi Capitals,8,Sameer Rizvi,6,1,MA Starc,0,0,0,6,1
2,Chennai Super Kings,1,SV Samson,11,10,RD Gaikwad,6,13,7,24,23
2,Chennai Super Kings,2,Urvil Patel,17,9,SV Samson,4,7,0,21,16
2,Chennai Super Kings,3,Kartik Sharma,41,31,SV Samson,72,35,1,114,66
