innings,over,ball,team,batter,bowler,umpire,type,decision
1,7,3,Mumbai Indians,AM Rahane,M Markande,Anish Sahasrabudhe,wicket,struck down
2,17,4,Kolkata Knight Riders,Tilak Varma,Kartik Tyagi,Anish Sahasrabudhe,wicket,struck down
