innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Kolkata Knight Riders,1,AM Rahane,28,15,FH Allen,37,17,4,69,32
1,Kolkata Knight Riders,2,C Green,18,10,AM Rahane,21,11,1,40,21
1,Kolkata Knight Riders,3,A Raghuvanshi,17,14,AM Rahane,18,14,1,36,28
1,Kolkata Knight Riders,4,RK Singh,24,15,A Raghuvanshi,34,15,2,60,30
1,Kolkata Knight Riders,5,Ramandeep Singh,4,4,RK Singh,9,6,2,15,9
2,Mumbai Indians,1,RD Rickelton,67,34,RG Sharma,78,38,3,148,71
2,Mumbai Indians,2,SA Yadav,16,8,RD Rickelton,13,7,2,31,15
2,Mumbai Indians,3,Tilak Varma,4,4,RD Rickelton,1,2,0,5,6
2,Mumbai Indians,4,Tilak Varma,16,10,HH Pandya,14,10,1,31,20
2,Mumbai Indians,5,Naman Dhir,5,2,HH Pandya,4,1,0,9,3
