match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
3,Kolkata Knight Riders,JJ Roy,14,12,3,0,116.67,c YK Pathan b PP Chawla
3,Kolkata Knight Riders,BB McCullum,35,24,4,2,145.83,lbw b Kuldeep Yadav
3,Kolkata Knight Riders,SK Raina,68,51,7,0,133.33,not out
3,Kolkata Knight Riders,AJ Finch,15,8,0,2,187.5,c SA Yadav b Kuldeep Yadav
3,Kolkata Knight Riders,KD Karthik,47,25,6,2,188.0,c SA Yadav b TA Boult
6,Sunrisers Hyderabad,JJ Roy,31,21,5,0,147.62,c S Dhawan b B Kumar
6,Sunrisers Hyderabad,BB McCullum,5,10,0,0,50.0,lbw b Rashid Khan
6,Sunrisers Hyderabad,SK Raina,5,8,0,0,62.5,lbw b Rashid Khan
6,Sunrisers Hyderabad,AJ Finch,3,5,0,0,60.0,lbw b Rashid Khan
6,Sunrisers Hyderabad,KD Karthik,30,32,2,0,93.75,c NV Ojha b A Nehra
6,Sunrisers Hyderabad,DR Smith,37,27,4,1,137.04,c V Shankar b B Kumar
6,Sunrisers Hyderabad,DS Kulkarni,1,2,0,0,50.0,run out (Rashid Khan)
6,Sunrisers Hyderabad,P Kumar,7,7,0,0,100.0,not out
6,Sunrisers Hyderabad,Basil Thampi,13,8,0,1,162.5,not out
13,Rising Pune Supergiant,DR Smith,47,30,8,1,156.67,c RD Chahar b SN Thakur
13,Rising Pune Supergiant,BB McCullum,49,32,5,3,153.12,st MS Dhoni b RD Chahar
13,Rising Pune Supergiant,SK Raina,35,22,4,1,159.09,not out
13,Rising Pune Supergiant,KD Karthik,3,5,0,0,60.0,b Imran Tahir
13,Rising Pune Supergiant,AJ Finch,33,19,3,2,173.68,not out
16,Mumbai Indians,DR Smith,0,2,0,0,0.0,c N Rana b MJ McClenaghan
16,Mumbai Indians,BB McCullum,64,44,6,3,145.45,b SL Malinga
16,Mumbai Indians,SK Raina,28,29,2,0,96.55,c RG Sharma b Harbhajan Singh
16,Mumbai Indians,Ishan Kishan,11,14,1,0,78.57,c KH Pandya b MJ McClenaghan
16,Mumbai Indians,KD Karthik,48,26,2,2,184.62,not out
16,Mumbai Indians,JJ Roy,14,7,1,1,200.0,not out
20,Royal Challengers Bangalore,DR Smith,1,4,0,0,25.0,c Mandeep Singh b YS Chahal
20,Royal Challengers Bangalore,BB McCullum,72,44,2,7,163.64,c AF Milne b YS Chahal
20,Royal Challengers Bangalore,SK Raina,23,8,2,2,287.5,c SR Watson b YS Chahal
