match_number,date,opponent,venue,result,margin
3,2017-04-07,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,lost,by 10 wickets
6,2017-04-09,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 9 wickets
13,2017-04-14,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,won,by 7 wickets
16,2017-04-16,Mumbai Indians,Wankhede Stadium,lost,by 6 wickets
20,2017-04-18,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,lost,by 21 runs
23,2017-04-21,Kolkata Knight Riders,Eden Gardens,won,by 4 wickets
26,2017-04-23,Kings XI Punjab,Saurashtra Cricket Association Stadium,lost,by 26 runs
31,2017-04-27,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 7 wickets
35,2017-04-29,Mumbai Indians,Saurashtra Cricket Association Stadium,no result,
39,2017-05-01,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,lost,by 5 wickets
42,2017-05-04,Delhi Daredevils,Feroz Shah Kotla,lost,by 7 wickets
47,2017-05-07,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 6 wickets
50,2017-05-10,Delhi Daredevils,Green Park,lost,by 2 wickets
53,2017-05-13,Sunrisers Hyderabad,Green Park,lost,by 8 wickets
