innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Royal Challengers Bangalore,death,56,0,30,11.2,9,10
1,Royal Challengers Bangalore,middle,69,3,54,7.67,10,26
1,Royal Challengers Bangalore,powerplay,31,2,36,5.17,5,24
2,Mumbai Indians,death,58,2,30,11.6,7,5
2,Mumbai Indians,middle,58,3,54,6.44,5,18
2,Mumbai Indians,powerplay,38,0,36,6.33,4,16
