match_number,date,opponent,venue,result,margin
2,2018-04-08,Delhi Daredevils,Punjab Cricket Association IS Bindra Stadium,won,by 6 wickets
8,2018-04-13,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 4 wickets
12,2018-04-15,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,won,by 4 runs
16,2018-04-19,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,won,by 15 runs
18,2018-04-21,Kolkata Knight Riders,Eden Gardens,won,by 9 wickets
22,2018-04-23,Delhi Daredevils,Arun Jaitley Stadium,won,by 4 runs
25,2018-04-26,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 13 runs
34,2018-05-04,Mumbai Indians,Holkar Cricket Stadium,lost,by 6 wickets
38,2018-05-06,Rajasthan Royals,Holkar Cricket Stadium,won,by 6 wickets
40,2018-05-08,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 15 runs
44,2018-05-12,Kolkata Knight Riders,Holkar Cricket Stadium,lost,by 31 runs
48,2018-05-14,Royal Challengers Bangalore,Holkar Cricket Stadium,lost,by 10 wickets
50,2018-05-16,Mumbai Indians,Wankhede Stadium,lost,by 3 runs
56,2018-05-20,Chennai Super Kings,Maharashtra Cricket Association Stadium,lost,by 5 wickets
