match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
3,Delhi Daredevils,T Kohli,7,12,0,1,58.33,c M Manhas b GD McGrath
3,Delhi Daredevils,YK Pathan,10,5,2,0,200.0,run out ()
3,Delhi Daredevils,SR Watson,21,15,4,0,140.0,run out ()
3,Delhi Daredevils,M Kaif,9,19,0,0,47.37,c B Geeves b R Bhatia
3,Delhi Daredevils,DS Lehmann,1,2,0,0,50.0,lbw b MF Maharoof
3,Delhi Daredevils,RA Jadeja,29,23,2,2,126.09,b DL Vettori
3,Delhi Daredevils,M Rawat,2,4,0,0,50.0,b R Bhatia
3,Delhi Daredevils,D Salunkhe,26,20,4,0,130.0,not out
3,Delhi Daredevils,SK Warne,14,13,2,0,107.69,b MF Maharoof
3,Delhi Daredevils,SK Trivedi,3,7,0,0,42.86,not out
6,Kings XI Punjab,M Kaif,5,8,1,0,62.5,c KC Sangakkara b S Sreesanth
6,Kings XI Punjab,Kamran Akmal,15,10,2,1,150.0,c PP Chawla b JR Hopes
6,Kings XI Punjab,YK Pathan,7,5,1,0,140.0,c & b B Lee
6,Kings XI Punjab,SR Watson,76,49,5,5,155.1,not out
6,Kings XI Punjab,DS Lehmann,17,16,3,0,106.25,lbw b IK Pathan
6,Kings XI Punjab,RA Jadeja,36,25,5,1,144.0,not out
9,Deccan Chargers,Kamran Akmal,12,9,1,1,133.33,c SB Bangar b WPUJC Vaas
9,Deccan Chargers,GC Smith,71,45,9,2,157.78,c D Kalyankrishna b Shahid Afridi
9,Deccan Chargers,YK Pathan,61,28,4,6,217.86,c A Symonds b D Kalyankrishna
9,Deccan Chargers,SR Watson,4,6,0,0,66.67,b Shahid Afridi
9,Deccan Chargers,M Kaif,34,16,2,3,212.5,c A Symonds b Shahid Afridi
9,Deccan Chargers,RA Jadeja,1,3,0,0,33.33,b RP Singh
9,Deccan Chargers,SK Warne,22,9,2,2,244.44,not out
9,Deccan Chargers,D Salunkhe,1,1,0,0,100.0,"run out (VVS Laxman, RP Singh)"
9,Deccan Chargers,Pankaj Singh,4,3,0,0,133.33,not out
12,Royal Challengers Bangalore,GC Smith,49,42,8,0,116.67,c A Kumble b SB Joshi
12,Royal Challengers Bangalore,M Rawat,0,2,0,0,0.0,c MV Boucher b P Kumar
12,Royal Challengers Bangalore,YK Pathan,21,12,5,0,175.0,c MV Boucher b Z Khan
12,Royal Challengers Bangalore,SR Watson,61,41,8,2,148.78,not out
12,Royal Challengers Bangalore,M Kaif,4,6,1,0,66.67,not out
18,Kolkata Knight Riders,GC Smith,2,7,0,0,28.57,b I Sharma
18,Kolkata Knight Riders,SA Asnodkar,60,34,10,1,176.47,c DJ Hussey b Umar Gul
18,Kolkata Knight Riders,M Kaif,21,18,3,1,116.67,c & b AB Agarkar
18,Kolkata Knight Riders,YK Pathan,55,33,6,2,166.67,b Umar Gul
18,Kolkata Knight Riders,SR Watson,0,1,0,0,0.0,lbw b Umar Gul
18,Kolkata Knight Riders,RA Jadeja,33,19,3,1,173.68,b LR Shukla
18,Kolkata Knight Riders,SK Warne,7,8,0,0,87.5,"run out (Umar Gul, WP Saha)"
18,Kolkata Knight Riders,Sohail Tanvir,3,3,0,0,100.0,not out
18,Kolkata Knight Riders,M Rawat,1,1,0,0,100.0,not out
24,Chennai Super Kings,GC Smith,35,44,4,0,79.55,not out
24,Chennai Super Kings,SA Asnodkar,32,30,5,0,106.67,c M Ntini b S Vidyut
24,Chennai Super Kings,YK Pathan,8,5,0,1,160.0,c SK Raina b M Muralitharan
24,Chennai Super Kings,SR Watson,14,8,1,1,175.0,not out
27,Mumbai Indians,GC Smith,5,9,0,0,55.56,st YV Takawale b SM Pollock
27,Mumbai Indians,SA Asnodkar,39,36,3,1,108.33,c RV Uthappa b RR Raje
27,Mumbai Indians,YK Pathan,1,3,0,0,33.33,b A Nehra
27,Mumbai Indians,SR Watson,32,20,4,1,160.0,b DJ Bravo
27,Mumbai Indians,M Kaif,4,7,0,0,57.14,c A Nehra b RR Raje
27,Mumbai Indians,RA Jadeja,0,1,0,0,0.0,c YV Takawale b DS Kulkarni
27,Mumbai Indians,SK Warne,7,7,1,0,100.0,c YV Takawale b DS Kulkarni
27,Mumbai Indians,Sohail Tanvir,6,6,1,0,100.0,b A Nehra
27,Mumbai Indians,M Rawat,1,5,0,0,20.0,c YV Takawale b A Nehra
27,Mumbai Indians,SK Trivedi,1,3,0,0,33.33,b DJ Bravo
27,Mumbai Indians,MM Patel,0,1,0,0,0.0,not out
30,Deccan Chargers,GC Smith,40,43,4,0,93.02,c PP Ojha b RP Singh
30,Deccan Chargers,YK Pathan,68,37,9,2,183.78,c HH Gibbs b PP Ojha
30,Deccan Chargers,M Kaif,17,14,2,0,121.43,not out
30,Deccan Chargers,SR Watson,5,2,1,0,250.0,not out
33,Delhi Daredevils,YK Pathan,8,13,1,0,61.54,run out (AB de Villiers)
33,Delhi Daredevils,GC Smith,24,27,3,0,88.89,c VY Mahesh b A Mishra
33,Delhi Daredevils,M Kaif,1,5,0,0,20.0,"run out (V Sehwag, KD Karthik)"
33,Delhi Daredevils,SR Watson,74,40,5,5,185.0,run out (KD Karthik)
33,Delhi Daredevils,RA Jadeja,6,6,1,0,100.0,b A Mishra
33,Delhi Daredevils,AD Mascarenhas,9,8,0,1,112.5,b V Sehwag
33,Delhi Daredevils,SK Warne,11,12,1,0,91.67,b MF Maharoof
33,Delhi Daredevils,NK Patel,4,2,1,0,200.0,not out
33,Delhi Daredevils,M Rawat,5,4,1,0,125.0,not out
39,Royal Challengers Bangalore,GC Smith,75,49,8,2,153.06,not out
39,Royal Challengers Bangalore,SA Asnodkar,50,44,7,1,113.64,c Misbah-ul-Haq b A Kumble
39,Royal Challengers Bangalore,SR Watson,46,28,6,0,164.29,not out
44,Kolkata Knight Riders,GC Smith,24,24,4,0,100.0,c WP Saha b Umar Gul
