match_number,date,opponent,venue,result,margin
3,2008-04-19,Delhi Daredevils,Feroz Shah Kotla,lost,by 9 wickets
6,2008-04-21,Kings XI Punjab,Sawai Mansingh Stadium,won,by 6 wickets
9,2008-04-24,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 3 wickets
12,2008-04-26,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 7 wickets
18,2008-05-01,Kolkata Knight Riders,Sawai Mansingh Stadium,won,by 45 runs
24,2008-05-04,Chennai Super Kings,Sawai Mansingh Stadium,won,by 8 wickets
27,2008-05-07,Mumbai Indians,Dr DY Patil Sports Academy,lost,by 7 wickets
30,2008-05-09,Deccan Chargers,Sawai Mansingh Stadium,won,by 8 wickets
33,2008-05-11,Delhi Daredevils,Sawai Mansingh Stadium,won,by 3 wickets
39,2008-05-17,Royal Challengers Bangalore,Sawai Mansingh Stadium,won,by 65 runs
44,2008-05-20,Kolkata Knight Riders,Eden Gardens,won,by 6 wickets
49,2008-05-24,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 10 runs
53,2008-05-26,Mumbai Indians,Sawai Mansingh Stadium,won,by 5 wickets
56,2008-05-28,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 41 runs
57,2008-05-30,Delhi Daredevils,Wankhede Stadium,won,by 105 runs
59,2008-06-01,Chennai Super Kings,Dr DY Patil Sports Academy,won,by 3 wickets
