innings,team,wicket_number,player_out,score,over
1,Deccan Chargers,1,AC Gilchrist,27,4.2
1,Deccan Chargers,2,HH Gibbs,54,7.6
1,Deccan Chargers,3,VVS Laxman,67,9.6
1,Deccan Chargers,4,Shahid Afridi,90,12.5
1,Deccan Chargers,5,Y Venugopal Rao,92,13.3
1,Deccan Chargers,6,SB Bangar,98,15.1
1,Deccan Chargers,7,DNT Zoysa,119,17.1
1,Deccan Chargers,8,D Kalyankrishna,154,20.1
2,Kings XI Punjab,1,RR Sarwan,41,6.6
2,Kings XI Punjab,2,KC Sangakkara,45,7.5
2,Kings XI Punjab,3,Yuvraj Singh,86,11.5
