position,team,played,won,lost,no_result,net_run_rate,points
1,Mumbai Indians,16,11,3,0,1.19,22
2,Sunrisers Hyderabad,16,8,7,0,0.487,16
3,Delhi Capitals,17,8,8,0,-0.246,16
4,Royal Challengers Bangalore,15,6,8,0,-0.172,12
5,Kolkata Knight Riders,14,6,7,0,-0.214,12
6,Chennai Super Kings,14,6,8,0,-0.455,12
7,Rajasthan Royals,14,6,8,0,-0.569,12
8,Kings XI Punjab,14,5,7,0,-0.162,10
