match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
5,2011-04-10,Kings XI Punjab,Dr DY Patil Sports Academy,4.0,0,27,2,6.75,11,1,0
10,2011-04-13,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,3.0,0,31,1,10.33,6,0,0
16,2011-04-17,Delhi Daredevils,Dr DY Patil Sports Academy,2.0,0,22,0,11.0,6,0,0
21,2011-04-20,Mumbai Indians,Wankhede Stadium,4.0,0,16,1,4.0,14,0,0
29,2011-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,29,2,7.25,7,1,0
31,2011-04-27,Chennai Super Kings,Dr DY Patil Sports Academy,3.3,1,24,0,6.86,9,2,0
35,2011-04-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,23,2,5.75,11,0,0
38,2011-05-01,Rajasthan Royals,Sawai Mansingh Stadium,4.0,1,28,1,7.0,10,1,0
44,2011-05-04,Mumbai Indians,Dr DY Patil Sports Academy,4.0,0,53,1,13.25,9,2,1
65,2011-05-19,Kolkata Knight Riders,Dr DY Patil Sports Academy,3.0,0,29,1,9.67,4,1,0
68,2011-05-21,Delhi Daredevils,Feroz Shah Kotla,3.0,0,15,0,5.0,9,0,0
