match_number,date,opponent,venue,result,margin
2,2017-04-06,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,lost,by 7 wickets
7,2017-04-09,Kolkata Knight Riders,Wankhede Stadium,won,by 4 wickets
10,2017-04-12,Sunrisers Hyderabad,Wankhede Stadium,won,by 4 wickets
12,2017-04-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 4 wickets
16,2017-04-16,Gujarat Lions,Wankhede Stadium,won,by 6 wickets
22,2017-04-20,Kings XI Punjab,Holkar Cricket Stadium,won,by 8 wickets
25,2017-04-22,Delhi Daredevils,Wankhede Stadium,won,by 14 runs
28,2017-04-24,Rising Pune Supergiant,Wankhede Stadium,lost,by 3 runs
35,2017-04-29,Gujarat Lions,Saurashtra Cricket Association Stadium,no result,
38,2017-05-01,Royal Challengers Bangalore,Wankhede Stadium,won,by 5 wickets
45,2017-05-06,Delhi Daredevils,Feroz Shah Kotla,won,by 146 runs
48,2017-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
51,2017-05-11,Kings XI Punjab,Wankhede Stadium,lost,by 7 runs
54,2017-05-13,Kolkata Knight Riders,Eden Gardens,won,by 9 runs
57,2017-05-16,Rising Pune Supergiant,Wankhede Stadium,lost,by 20 runs
59,2017-05-19,Kolkata Knight Riders,M Chinnaswamy Stadium,won,by 6 wickets
60,2017-05-21,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",won,by 1 runs
