team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Sunrisers Hyderabad,1,DA Warner,LH Ferguson,JM Bairstow,0,0,0,,True,bowled,DA Warner
Sunrisers Hyderabad,2,Abdul Samad,LH Ferguson,JM Bairstow,2,0,2,,False,,
Sunrisers Hyderabad,3,Abdul Samad,LH Ferguson,JM Bairstow,0,0,0,,True,bowled,Abdul Samad
Kolkata Knight Riders,1,EJG Morgan,Rashid Khan,KD Karthik,0,0,0,,False,,
Kolkata Knight Riders,2,EJG Morgan,Rashid Khan,KD Karthik,1,0,1,,False,,
Kolkata Knight Riders,3,KD Karthik,Rashid Khan,EJG Morgan,0,0,0,,False,,
Kolkata Knight Riders,4,KD Karthik,Rashid Khan,EJG Morgan,0,2,2,legbyes,False,,
