match_number,date,opponent,venue,result,margin
4,2011-04-10,Delhi Daredevils,Feroz Shah Kotla,won,by 8 wickets
8,2011-04-12,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 9 wickets
13,2011-04-15,Kochi Tuskers Kerala,Wankhede Stadium,lost,by 8 wickets
21,2011-04-20,Pune Warriors,Wankhede Stadium,won,by 7 wickets
25,2011-04-22,Chennai Super Kings,Wankhede Stadium,won,by 8 runs
27,2011-04-24,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 37 runs
34,2011-04-29,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 7 wickets
40,2011-05-02,Kings XI Punjab,Wankhede Stadium,won,by 23 runs
44,2011-05-04,Pune Warriors,Dr DY Patil Sports Academy,won,by 21 runs
49,2011-05-07,Delhi Daredevils,Wankhede Stadium,won,by 32 runs
54,2011-05-10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 76 runs
59,2011-05-14,Deccan Chargers,Wankhede Stadium,lost,by 10 runs
66,2011-05-20,Rajasthan Royals,Wankhede Stadium,lost,by 10 wickets
70,2011-05-22,Kolkata Knight Riders,Eden Gardens,won,by 5 wickets
72,2011-05-25,Kolkata Knight Riders,Wankhede Stadium,won,by 4 wickets
73,2011-05-27,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",lost,by 43 runs
