innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,2,6,Kolkata Knight Riders,KD Karthik,Mohammed Shami,KN Ananthapadmanabhan,,struck down,False
1,16,3,Kings XI Punjab,PJ Cummins,Ravi Bishnoi,KN Ananthapadmanabhan,,struck down,False
