player,team,role,matches
A Chopra,Kolkata Knight Riders,batter,1
A Flintoff,Chennai Super Kings,all-rounder,3
A Kumble,Royal Challengers Bangalore,all-rounder,16
A Mishra,Delhi Daredevils,all-rounder,11
A Mithun,Royal Challengers Bangalore,bowler,1
A Nehra,Delhi Daredevils,all-rounder,13
A Singh,Rajasthan Royals,all-rounder,5
A Symonds,Deccan Chargers,all-rounder,8
AA Bilakhia,Deccan Chargers,batter,6
AB Agarkar,Kolkata Knight Riders,all-rounder,11
AB Dinda,Kolkata Knight Riders,all-rounder,8
AB McDonald,Delhi Daredevils,all-rounder,1
AB de Villiers,Delhi Daredevils,batter,13
AC Gilchrist,Deccan Chargers,batter,16
AD Mascarenhas,Rajasthan Royals,all-rounder,5
AD Mathews,Kolkata Knight Riders,all-rounder,1
AM Nayar,Mumbai Indians,all-rounder,11
AM Rahane,Mumbai Indians,all-rounder,7
AM Salvi,Delhi Daredevils,bowler,5
AN Ghosh,Kolkata Knight Riders,batter,2
AS Raut,Rajasthan Royals,all-rounder,8
Anureet Singh,Kolkata Knight Riders,bowler,2
B Akhil,Royal Challengers Bangalore,all-rounder,6
B Lee,Kings XI Punjab,all-rounder,5
BAW Mendis,Kolkata Knight Riders,all-rounder,4
BB McCullum,Kolkata Knight Riders,batter,13
BJ Hodge,Kolkata Knight Riders,all-rounder,12
C Nanda,Mumbai Indians,all-rounder,3
CH Gayle,Kolkata Knight Riders,all-rounder,7
CK Langeveldt,Kolkata Knight Riders,bowler,1
D du Preez,Royal Challengers Bangalore,all-rounder,2
DA Warner,Delhi Daredevils,batter,7
DB Ravi Teja,Deccan Chargers,batter,6
DJ Bravo,Mumbai Indians,all-rounder,11
DJ Hussey,Kolkata Knight Riders,all-rounder,4
DL Vettori,Delhi Daredevils,all-rounder,7
DP Nannes,Delhi Daredevils,bowler,13
DPMD Jayawardene,Kings XI Punjab,batter,10
DR Smith,Deccan Chargers,all-rounder,8
DS Kulkarni,Mumbai Indians,all-rounder,8
DW Steyn,Royal Challengers Bangalore,all-rounder,3
FH Edwards,Deccan Chargers,all-rounder,6
G Gambhir,Delhi Daredevils,batter,15
GC Smith,Rajasthan Royals,batter,12
GJ Bailey,Chennai Super Kings,batter,2
GR Napier,Mumbai Indians,all-rounder,1
HH Gibbs,Deccan Chargers,batter,14
Harbhajan Singh,Mumbai Indians,all-rounder,13
Harmeet Singh,Deccan Chargers,bowler,7
I Sharma,Kolkata Knight Riders,all-rounder,11
IK Pathan,Kings XI Punjab,all-rounder,14
J Botha,Rajasthan Royals,all-rounder,3
JA Morkel,Chennai Super Kings,all-rounder,12
JD Ryder,Royal Challengers Bangalore,all-rounder,5
JDP Oram,Chennai Super Kings,all-rounder,8
JH Kallis,Royal Challengers Bangalore,all-rounder,15
JP Duminy,Mumbai Indians,all-rounder,13
Jaskaran Singh,Deccan Chargers,bowler,1
Joginder Sharma,Chennai Super Kings,all-rounder,4
K Goel,Kings XI Punjab,all-rounder,9
KC Sangakkara,Kings XI Punjab,batter,13
KD Karthik,Delhi Daredevils,batter,13
KP Appanna,Royal Challengers Bangalore,all-rounder,5
KP Pietersen,Royal Challengers Bangalore,all-rounder,6
KV Sharma,Royal Challengers Bangalore,batter,1
Kamran Khan,Rajasthan Royals,all-rounder,5
L Balaji,Chennai Super Kings,all-rounder,13
L Ronchi,Mumbai Indians,batter,1
LA Carseldine,Rajasthan Royals,all-rounder,5
LA Pomersbach,Kings XI Punjab,batter,4
LR Shukla,Kolkata Knight Riders,all-rounder,8
LRPL Taylor,Royal Challengers Bangalore,all-rounder,11
M Kartik,Kolkata Knight Riders,all-rounder,10
M Manhas,Delhi Daredevils,batter,6
M Morkel,Rajasthan Royals,all-rounder,2
M Muralitharan,Chennai Super Kings,all-rounder,13
M Rawat,Rajasthan Royals,batter,3
M Vijay,Chennai Super Kings,batter,4
MC Henriques,Kolkata Knight Riders,all-rounder,4
MF Maharoof,Delhi Daredevils,all-rounder,3
MK Pandey,Royal Challengers Bangalore,batter,4
MK Tiwary,Delhi Daredevils,all-rounder,1
ML Hayden,Chennai Super Kings,batter,12
MM Patel,Rajasthan Royals,all-rounder,11
MN van Wyk,Kolkata Knight Riders,batter,5
MS Dhoni,Chennai Super Kings,batter,13
MS Gony,Chennai Super Kings,all-rounder,7
MV Boucher,Royal Challengers Bangalore,batter,9
Mashrafe Mortaza,Kolkata Knight Riders,all-rounder,1
Mohammad Ashraful,Mumbai Indians,batter,1
NK Patel,Rajasthan Royals,batter,2
NV Ojha,Rajasthan Royals,batter,8
P Kumar,Royal Challengers Bangalore,all-rounder,13
PA Patel,Chennai Super Kings,batter,9
PC Valthaty,Rajasthan Royals,batter,2
PJ Sangwan,Delhi Daredevils,all-rounder,13
PP Chawla,Kings XI Punjab,all-rounder,14
PP Ojha,Deccan Chargers,all-rounder,15
PR Shah,Mumbai Indians,batter,4
Pankaj Singh,Royal Challengers Bangalore,all-rounder,3
R Ashwin,Chennai Super Kings,all-rounder,1
R Bhatia,Delhi Daredevils,all-rounder,8
R Bishnoi,Royal Challengers Bangalore,batter,3
R Dravid,Royal Challengers Bangalore,batter,12
R Vinay Kumar,Royal Challengers Bangalore,all-rounder,11
RA Jadeja,Rajasthan Royals,all-rounder,13
RA Shaikh,Mumbai Indians,bowler,1
RE van der Merwe,Royal Challengers Bangalore,all-rounder,10
RG Sharma,Deccan Chargers,all-rounder,16
RJ Harris,Deccan Chargers,all-rounder,8
RJ Quiney,Rajasthan Royals,batter,7
RP Singh,Deccan Chargers,all-rounder,16
RR Bose,Kings XI Punjab,bowler,1
RR Powar,Kings XI Punjab,all-rounder,8
RR Raje,Mumbai Indians,all-rounder,4
RS Bopara,Kings XI Punjab,all-rounder,5
RV Uthappa,Royal Challengers Bangalore,batter,13
S Badrinath,Chennai Super Kings,batter,11
S Dhawan,Mumbai Indians,batter,4
S Sohal,Kings XI Punjab,batter,8
S Sreesanth,Kings XI Punjab,all-rounder,7
S Tyagi,Chennai Super Kings,all-rounder,8
SA Asnodkar,Rajasthan Royals,batter,8
SB Bangar,Kolkata Knight Riders,batter,1
SB Jakati,Chennai Super Kings,all-rounder,8
SB Styris,Deccan Chargers,all-rounder,2
SC Ganguly,Kolkata Knight Riders,all-rounder,12
SD Chitnis,Rajasthan Royals,batter,1
SK Raina,Chennai Super Kings,all-rounder,14
SK Trivedi,Rajasthan Royals,all-rounder,7
SK Warne,Rajasthan Royals,all-rounder,13
SL Malinga,Mumbai Indians,all-rounder,13
SM Harwood,Rajasthan Royals,all-rounder,3
SM Katich,Kings XI Punjab,batter,9
SP Goswami,Royal Challengers Bangalore,batter,2
SR Tendulkar,Mumbai Indians,all-rounder,13
SS Sarkar,Kolkata Knight Riders,bowler,2
SS Shaikh,Kolkata Knight Riders,batter,1
SS Tiwary,Mumbai Indians,batter,3
ST Jayasuriya,Mumbai Indians,all-rounder,12
Shoaib Ahmed,Deccan Chargers,all-rounder,7
T Henderson,Rajasthan Royals,all-rounder,2
T Kohli,Kings XI Punjab,batter,1
T Thushara,Chennai Super Kings,all-rounder,2
TL Suman,Deccan Chargers,all-rounder,12
TM Dilshan,Delhi Daredevils,all-rounder,13
TM Srivastava,Kings XI Punjab,batter,1
V Kohli,Royal Challengers Bangalore,all-rounder,14
V Sehwag,Delhi Daredevils,all-rounder,11
VRV Singh,Kings XI Punjab,bowler,4
VS Malik,Kings XI Punjab,bowler,5
VVS Laxman,Deccan Chargers,batter,5
VY Mahesh,Delhi Daredevils,bowler,1
W Jaffer,Royal Challengers Bangalore,batter,2
WA Mota,Kings XI Punjab,all-rounder,7
