position,team,played,won,lost,no_result,net_run_rate,points
1,Delhi Daredevils,15,10,5,0,0.207,20
2,Deccan Chargers,16,9,7,0,0.257,18
3,Royal Challengers Bangalore,16,9,7,0,-0.15,18
4,Chennai Super Kings,14,8,6,0,0.824,16
5,Kings XI Punjab,14,7,7,0,-0.396,14
6,Mumbai Indians,13,5,8,0,0.164,10
7,Rajasthan Royals,13,5,7,0,-0.344,10
8,Kolkata Knight Riders,13,3,9,0,-0.679,6
