cricsheet_match_id,match_number,date,venue,team_1,team_2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,player_of_match,team_1_score,team_2_score,team_1_overs,team_2_overs,method,target_overs,match_stage,umpire_1,umpire_2,tv_umpire,match_referee
392181,1,2009-04-18,Newlands,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,,19,0,SR Tendulkar,165/7,146/7,20.0,20.0,,20,league,BR Doctrove,K Hariharan,RB Tiffin,GR Viswanath
392182,2,2009-04-18,Newlands,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,75,0,R Dravid,133/8,58/10,20.0,15.1,,20,league,BR Doctrove,RB Tiffin,K Hariharan,GR Viswanath
392183,3,2009-04-19,Newlands,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,0,10,DL Vettori,104/7,58/0,12.0,4.5,D/L,6,league,MR Benson,SD Ranade,AL Hill,Yashpal Sharma
392184,4,2009-04-19,Newlands,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers,,0,8,RP Singh,101/10,104/2,19.4,13.1,,20,league,MR Benson,BR Doctrove,SD Ranade,Yashpal Sharma
392185,5,2009-04-20,St George's Park,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,,92,0,M Muralitharan,179/5,87/10,20.0,15.2,,20,league,BG Jerling,SJA Taufel,RB Tiffin,GR Viswanath
392186,6,2009-04-21,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,11,0,CH Gayle,158/6,79/1,20.0,9.2,D/L,9.2,league,DJ Harper,SD Ranade,TH Wijewardene,D Govindjee
392188,8,2009-04-22,Newlands,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,,24,0,AC Gilchrist,184/6,160/8,20.0,20.0,,20,league,M Erasmus,AM Saheba,MR Benson,Yashpal Sharma
392189,9,2009-04-23,Kingsmead,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils,,9,0,AB de Villiers,189/5,180/9,20.0,20.0,,20,league,BR Doctrove,SJA Taufel,SD Ranade,D Govindjee
392190,10,2009-04-23,Newlands,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,,tie,0,0,YK Pathan,150/6,150/8,20.0,20.0,,20,league,MR Benson,M Erasmus,AM Saheba,GR Viswanath
392191,11,2009-04-24,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,,0,7,RS Bopara,168/9,173/3,20.0,19.0,,20,league,BR Doctrove,TH Wijewardene,SJA Taufel,D Govindjee
