innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,RD Gaikwad,12,14,F du Plessis,4,9,18,23
1,Chennai Super Kings,2,F du Plessis,11,5,MM Ali,0,6,11,11
1,Chennai Super Kings,3,RV Uthappa,2,6,F du Plessis,1,1,3,7
1,Chennai Super Kings,4,F du Plessis,5,5,AT Rayudu,4,5,10,10
1,Chennai Super Kings,5,MS Dhoni,12,15,F du Plessis,5,6,19,21
1,Chennai Super Kings,6,F du Plessis,50,29,RA Jadeja,14,16,67,45
1,Chennai Super Kings,7,RA Jadeja,1,1,DJ Bravo,4,2,6,3
2,Punjab Kings,1,KL Rahul,33,15,MA Agarwal,12,12,46,27
2,Punjab Kings,2,SN Khan,0,3,KL Rahul,0,0,0,3
2,Punjab Kings,3,KL Rahul,26,14,M Shahrukh Khan,8,10,34,24
2,Punjab Kings,4,KL Rahul,29,11,AK Markram,13,8,46,19
2,Punjab Kings,5,MC Henriques,3,3,KL Rahul,10,2,13,5
