match_number,date,opponent,venue,result,margin
1,2012-04-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 8 wickets
3,2012-04-06,Pune Warriors,Wankhede Stadium,lost,by 28 runs
9,2012-04-09,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 5 wickets
12,2012-04-11,Rajasthan Royals,Wankhede Stadium,won,by 27 runs
19,2012-04-16,Delhi Daredevils,Wankhede Stadium,lost,by 7 wickets
28,2012-04-22,Kings XI Punjab,Wankhede Stadium,lost,by 6 wickets
33,2012-04-25,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 4 wickets
36,2012-04-27,Delhi Daredevils,Feroz Shah Kotla,lost,by 37 runs
40,2012-04-29,Deccan Chargers,Wankhede Stadium,won,by 5 wickets
45,2012-05-03,Pune Warriors,Subrata Roy Sahara Stadium,won,by 1 runs
49,2012-05-06,Chennai Super Kings,Wankhede Stadium,won,by 2 wickets
54,2012-05-09,Royal Challengers Bangalore,Wankhede Stadium,lost,by 9 wickets
58,2012-05-12,Kolkata Knight Riders,Eden Gardens,won,by 27 runs
62,2012-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 5 wickets
65,2012-05-16,Kolkata Knight Riders,Wankhede Stadium,lost,by 32 runs
72,2012-05-20,Rajasthan Royals,Sawai Mansingh Stadium,won,by 10 wickets
74,2012-05-23,Chennai Super Kings,M Chinnaswamy Stadium,lost,by 38 runs
