innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,SR Watson,10,3.2
1,Rajasthan Royals,2,AM Rahane,26,6.2
1,Rajasthan Royals,3,STR Binny,66,10.5
1,Rajasthan Royals,4,R Dravid,97,15.4
1,Rajasthan Royals,5,BJ Hodge,105,16.2
1,Rajasthan Royals,6,JP Faulkner,108,17.3
1,Rajasthan Royals,7,DH Yagnik,110,17.6
1,Rajasthan Royals,8,S Sreesanth,111,18.4
1,Rajasthan Royals,9,SW Tait,112,19.1
1,Rajasthan Royals,10,SK Trivedi,117,20.4
2,Royal Challengers Bangalore,1,TM Dilshan,53,7.4
2,Royal Challengers Bangalore,2,V Kohli,57,8.4
2,Royal Challengers Bangalore,3,AB de Villiers,64,9.6
