innings,team,wicket_number,player_out,score,over
1,Deccan Chargers,1,PA Patel,7,2.4
1,Deccan Chargers,2,B Chipli,9,4.1
1,Deccan Chargers,3,S Dhawan,46,7.6
1,Deccan Chargers,4,KC Sangakkara,82,13.3
1,Deccan Chargers,5,DT Christian,123,18.6
1,Deccan Chargers,6,DB Ravi Teja,127,19.2
1,Deccan Chargers,7,A Mishra,127,19.4
1,Deccan Chargers,8,DW Steyn,136,20.3
1,Deccan Chargers,9,Ankit Sharma,138,20.6
2,Mumbai Indians,1,TL Suman,7,2.5
2,Mumbai Indians,2,RE Levi,10,4.6
2,Mumbai Indians,3,AT Rayudu,58,12.2
2,Mumbai Indians,4,KA Pollard,95,17.2
2,Mumbai Indians,5,KD Karthik,120,19.5
