innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Punjab Kings,1,Priyansh Arya,22,17,P Simran Singh,23,16,5,50,33
1,Punjab Kings,2,C Connolly,21,19,P Simran Singh,34,16,2,57,35
1,Punjab Kings,3,SS Iyer,4,2,C Connolly,0,0,0,4,2
1,Punjab Kings,4,Suryansh Shedge,0,2,C Connolly,0,3,0,0,5
1,Punjab Kings,5,Shashank Singh,2,2,Suryansh Shedge,8,3,2,12,5
1,Punjab Kings,6,Azmatullah Omarzai,12,7,Shashank Singh,0,1,0,12,8
1,Punjab Kings,7,M Jansen,2,7,Azmatullah Omarzai,2,3,1,5,10
1,Punjab Kings,8,Vishnu Vinod,2,3,Azmatullah Omarzai,24,7,0,26,10
1,Punjab Kings,9,Vishnu Vinod,13,5,XC Bartlett,18,7,3,34,12
2,Mumbai Indians,1,RG Sharma,13,16,RD Rickelton,48,23,0,61,39
2,Mumbai Indians,2,Naman Dhir,9,6,RG Sharma,11,8,0,20,14
2,Mumbai Indians,3,Tilak Varma,5,2,RG Sharma,1,2,1,7,4
2,Mumbai Indians,4,SE Rutherford,20,21,Tilak Varma,39,21,2,61,42
2,Mumbai Indians,5,WG Jacks,25,10,Tilak Varma,31,10,0,56,20
