innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,Priyansh Arya,50,6.3
1,Punjab Kings,2,P Simran Singh,107,12.2
1,Punjab Kings,3,SS Iyer,111,12.4
1,Punjab Kings,4,C Connolly,111,13.3
1,Punjab Kings,5,Suryansh Shedge,123,14.2
1,Punjab Kings,6,Shashank Singh,135,15.4
1,Punjab Kings,7,M Jansen,140,17.2
1,Punjab Kings,8,Azmatullah Omarzai,166,18.6
2,Mumbai Indians,1,RD Rickelton,61,7.3
2,Mumbai Indians,2,Naman Dhir,81,9.5
2,Mumbai Indians,3,RG Sharma,88,10.3
2,Mumbai Indians,4,SE Rutherford,149,17.3
