match_number,date,opponent,catches,stumpings,run_outs
19,2026-04-12,Lucknow Super Giants,1,0,0
34,2026-04-24,Royal Challengers Bengaluru,1,0,0
37,2026-04-26,Chennai Super Kings,1,0,0
